id,kode,path,nama,status
60031,"bphtb-self","/bphtb/self","BPHTB Realisasi Self",1
60032,"bphtb-self-act","/bphtb/self/{id}/act","BPHTB Realisasi  Self Act",1
60033,"bphtb-self-view","/bphtb/self/{id}/view","BPHTB Realisasi Self View",1
60034,"bphtb-self-post","/bphtb/self/{id}/post","BPHTB Realisasi Self Post",1
60035,"bphtb-self-csv","/bphtb/self/csv","BPHTB Realisasi Self CSV",1
70001,"pdl-sa","/pdl/sa","PDL-Saldo Awal",1
70002,"pdl-sa-act","/pdl/sa/{id}/act","PDL-Saldo Awal Act",1
70003,"pdl-sa-view","/pdl/sa/{id}/view","PDL-Saldo Awal View",1
70004,"pdl-sa-post","/pdl/sa/{id}/post","PDL-Saldo Awal Post",1
70005,"pdl-sa-add","/pdl/sa/add","PDL-Saldo Awal Tambah",1
70006,"pdl-sa-delete","/pdl/sa/{id}/delete","PDL-Saldo Awal Hapus",1
70007,"pdl-sa-edit","/pdl/sa/{id}/edit","PDL-Saldo Edit",1
70011,"pdl-ketetapan","/pdl/ketetapan","PDL-Ketetapan",1
70012,"pdl-ketetapan-act","/pdl/ketetapan/{id}/act","PDL-Ketetapan Action",1
70013,"pdl-ketetapan-view","/pdl/ketetapan/{id}/view","PDL-Ketetapan View",1
70014,"pdl-ketetapan-post","/pdl/ketetapan/{id}/post","PDL-Ketetapan Posting",1
70021,"pdl-realisasi","/pdl/realisasi","PDL",1
70022,"pdl-realisasi-act","/pdl/realisasi/{id}/act","PDL-Realisasi Act",1
70023,"pdl-realisasi-view","/pdl/realisasi/{id}/view","PDL-Realisasi View",1
70024,"pdl-realisasi-post","/pdl/realisasi/{id}/post","PDL-Realisasi Post",1
1702000,"F170200","/F170200","PBB Permohonan",1
1702001,"F170200-add","/F170200/add","PBB Permohonan Add",1
1702002,"F170200-edt","/F170200/{id}/edt","PBB Permohonan Edit",1
1702003,"F170200-del","/F170200/{id}/del","PBB Permohonan Delete",1
1702004,"F170200-act","/F170200/{id}/act","PBB Permohonan Action",1
1702005,"F170200-csv","/F170200/csv","PBB Permohonan CSV",1
1709000,"F170900","/F170900","PBB Restitusi Kompensasi",1
1709020,"F170902","/F170902","PBB Restitusi Kompensasi",1
